Lemma,NPx,Refl,AbsTotal
vásihus,4,9,195
vástádus,3,9,1941
vásáhus,30,127,1830
váttisvuohta,11,47,4809
áddejupmi,0,9,654
áddjá,18,9,1084
ágga,1,7,1590
áhkku,32,25,1926
áhkkut,6,7,122
áhkká,5,1,88
áhkoš,8,0,25
áhčáš,20,0,30
áhččerohkki,3,6,58
áhčči,254,54,2816
áigi,27,50,28533
áigumuš,15,67,1371
áigáiboahtu,5,4,59
áirras,1,37,3381
ákkastallan,3,11,213
álbmot,6,141,6456
álbmotbeaivi,3,5,1438
álgga,1,4,191
álgoálbmot,0,35,3028
ámadadju,7,7,246
ámmát,2,20,533
árbevierru,8,20,1396
árbi,0,11,257
árgabeaivi,0,11,599
árja,0,13,222
árvalus,13,34,1384
árvu,9,30,2591
árvvoštallan,3,20,688
ásahus,1,18,2442
ásodat,1,10,647
ássanbáiki,3,3,121
ássanguovlu,1,14,265
ássi,0,19,1905
áviisa,1,9,1519
ávki,2,7,3422
ávnnas,1,4,691
ávžžuhus,5,3,427
áŋgiruššan,2,5,203
áŋgirvuohta,5,2,111
ášši,1,166,27976
čalbmeláset,1,4,63
čalbmi,22,27,1240
čearddalašvuohta,1,7,80
čearpmat,2,4,173
čehppodat,28,41,369
čiegusvuohta,4,5,188
čiekčan,1,21,2876
čiekči,1,22,2724
čielggadeapmi,1,5,418
čikŋa,4,4,470
čilgehus,6,14,811
čivga,21,2,253
čižži,5,2,80
čoahkkin,59,11,6303
čoakkáldat,1,4,281
čoavji,5,2,312
čuojahanjoavku,2,7,69
čuojanas,1,5,191
čuoččuhus,14,31,913
čáhci,3,2,2438
čájáhus,6,16,2476
čájálmas,5,24,1837
čállin,0,5,393
čálus,18,31,1670
šaddanbáiki,2,4,18
šibit,1,4,206
šiehtadus,1,4,2023
šillju,5,23,1162
šuokŋa,1,13,581
